Priority,Recommendation,Evidence,Product,Current Factory,Recommended Factory,Factory Movement,Orders,Avg Lead-Time Reduction (Days),Lead-Time Improvement (%),Potential Order-Days Reduced,Sales,Profit
1,MOVE CANDIDATE,MEDIUM EVIDENCE,Kazookles,The Other Factory,Wicked Choccy's,The Other Factory → Wicked Choccy's,96,44.86,3.35,4306.18,1205.75,92.75
1,MOVE CANDIDATE,HIGHER EVIDENCE,Wonka Gum,Secret Factory,Wicked Choccy's,Secret Factory → Wicked Choccy's,120,39.0,2.92,4680.59,597.5,310.7
1,MOVE CANDIDATE,HIGHER EVIDENCE,Wonka Bar - Fudge Mallows,Lot's O' Nuts,Wicked Choccy's,Lot's O' Nuts → Wicked Choccy's,1818,13.31,1.0,24193.03,24890.4,16593.6
1,MOVE CANDIDATE,HIGHER EVIDENCE,Wonka Bar -Scrumdiddlyumptious,Lot's O' Nuts,Wicked Choccy's,Lot's O' Nuts → Wicked Choccy's,2064,11.24,0.84,23197.78,27874.8,19357.5
1,MOVE CANDIDATE,HIGHER EVIDENCE,Wonka Bar - Nutty Crunch Surprise,Lot's O' Nuts,Wicked Choccy's,Lot's O' Nuts → Wicked Choccy's,1810,7.42,0.56,13433.92,23574.95,16819.95
1,MOVE CANDIDATE,HIGHER EVIDENCE,Wonka Bar - Milk Chocolate,Wicked Choccy's,The Other Factory,Wicked Choccy's → The Other Factory,2137,4.6,0.35,9827.23,26867.75,17443.37
1,MOVE CANDIDATE,MEDIUM EVIDENCE,Lickable Wallpaper,Secret Factory,Wicked Choccy's,Secret Factory → Wicked Choccy's,94,2.67,0.2,250.73,7860.0,3930.0
1,MOVE CANDIDATE,HIGHER EVIDENCE,Wonka Bar - Triple Dazzle Caramel,Wicked Choccy's,The Other Factory,Wicked Choccy's → The Other Factory,2015,1.18,0.09,2374.52,28485.0,18610.2
2,VALIDATE FIRST,LOW EVIDENCE,Nerds,Sugar Shack,The Other Factory,Sugar Shack → The Other Factory,4,319.98,23.76,1279.93,15.0,7.0
2,VALIDATE FIRST,LOW EVIDENCE,Fizzy Lifting Drinks,Sugar Shack,Wicked Choccy's,Sugar Shack → Wicked Choccy's,6,37.67,2.81,226.0,78.75,47.25
2,VALIDATE FIRST,LOW EVIDENCE,SweeTARTS,Sugar Shack,Secret Factory,Sugar Shack → Secret Factory,10,32.3,2.38,322.98,61.5,28.7
2,VALIDATE FIRST,LOW EVIDENCE,Fun Dip,Sugar Shack,Wicked Choccy's,Sugar Shack → Wicked Choccy's,3,25.21,1.86,75.64,12.0,4.8
2,VALIDATE FIRST,LOW EVIDENCE,Everlasting Gobstopper,Secret Factory,The Other Factory,Secret Factory → The Other Factory,3,1.31,0.1,3.92,130.0,104.0
3,NO CHANGE,LOW EVIDENCE,Laffy Taffy,Sugar Shack,The Other Factory,Sugar Shack → The Other Factory,10,-4.52,-0.34,-45.16,53.73,33.48
3,NO CHANGE,LOW EVIDENCE,Hair Toffee,The Other Factory,Secret Factory,The Other Factory → Secret Factory,4,-48.48,-3.6,-193.91,76.5,59.5
